"","df","SS","MS","Rsq","F","Z","P.value"
"log(CS)",1,0.0119720963276994,0.0119720963276994,0.0578990828471462,25.3910477083929,13.3068861627032,9.9999999999989e-05
"population",7,0.0627642965914858,0.00896632808449798,0.303538754510807,19.0162572978846,12.2214157817306,9.9999999999989e-05
"treatment",1,0.00463489699579789,0.00463489699579789,0.0224151458359723,9.82993182835554,8.39048260006424,9.9999999999989e-05
"log(CS):population",7,0.00349441301802905,0.000499201859718436,0.0168995724136383,1.05873339883701,1.05295319712867,0.3219
"log(CS):treatment",1,0.000427734615388045,0.000427734615388045,0.00206859694869358,0.907161931258528,0.829174281674552,0.4421
"population:treatment",7,0.00541829902587054,0.000774042717981506,0.0262038105610343,1.64163025777953,1.68801993900781,0.00309999999999999
"log(CS):population:treatment",7,0.00301540760234119,0.00043077251462017,0.0145830212025546,0.913604866749925,0.979042513901487,0.4578
"Residuals",244,0.115048088503771,0.000471508559441685,,,,
"Total",275,0.206775232680383,,,,,
